"Trait","N","Min","Mean","Max","SD","NAs"
"Age (Years)",4450,"18.1","51.4","93.3","13.2",0
"Glucose (mmol/L)",4296,"1.0","1.6","2.2","0.1",154
"Total Cholestrol (mmol/L)",4412,"2.1","5.2","9.3","1.1",38
"HDL Cholestrol (mmol/L)",4404,"0.5","1.5","3.1","0.4",46
"Sodium (mmol/L)",4420,"131.0","139.8","148.0","2.3",30
"Potassium (mmol/L)",4333,"3.0","4.2","5.9","0.3",117
"Urea (mmol/L)",4408,"1.2","5.2","10.0","1.3",42
"Creatinine (umol/L)",4407,"36.0","73.6","134.0","14.0",43
"BMI (kg/m2)",4389,"18.0","26.8","49.6","4.9",61
"Waist-Hip Ratio",4378,"0.6","0.9","1.2","0.1",72
"Body Fat (%)",4327,"2.2","30.1","56.1","9.2",123
"Systolic Blood Pressure (mmHg)",4441,"80.0","133.5","207.0","18.2",9
"Diastolic Blood Pressure (mmHg)",4445,"42.0","80.8","122.0","10.5",5
"Heart Rate (BPM)",4440,"34.0","69.1","113.0","11.3",10
"Forced Expiratory Volume (L)",3775,"0.5","3.0","6.1","0.8",675
"Forced Vital Capacity (L)",3775,"1.4","4.0","7.8","1.0",675
"Alcohol Consumption (Units/Week)",4106,"0.0","10.7","146.0","11.7",344
"Smoking (Pack Years)",4380,"0.0","7.5","133.0","14.3",70
"g",4312,"-4.1","0.0","3.4","1.0",138
